2025-11-04 13:12:32, mode=PVAI, level=Hard, move=3, ms=0.006
2025-11-04 13:12:32, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 13:12:34, mode=PVAI, level=Hard, move=1, ms=2.063
2025-11-04 13:12:34, mode=PVAI, level=Hard, move=2, ms=0.082
2025-11-04 13:12:35, mode=PVAI, level=Hard, move=3, ms=0.005
2025-11-04 13:12:36, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 13:12:36, mode=PVAI, level=Hard, move=1, ms=1.956
2025-11-04 13:12:37, mode=PVAI, level=Hard, move=2, ms=0.057
2025-11-04 13:12:37, mode=PVAI, level=Hard, move=3, ms=0.006
2025-11-04 13:12:38, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 13:12:39, mode=PVAI, level=Hard, move=1, ms=1.903
2025-11-04 13:12:39, mode=PVAI, level=Hard, move=2, ms=0.041
2025-11-04 13:12:40, mode=PVAI, level=Hard, move=3, ms=0.004
2025-11-04 13:12:40, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 13:12:41, mode=PVAI, level=Hard, move=1, ms=1.957
2025-11-04 13:12:41, mode=PVAI, level=Hard, move=2, ms=0.043
2025-11-04 13:12:42, mode=PVAI, level=Hard, move=3, ms=0.006
2025-11-04 13:12:43, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 13:12:44, mode=PVAI, level=Hard, move=1, ms=2.207
2025-11-04 13:12:44, mode=PVAI, level=Hard, move=2, ms=0.076
2025-11-04 13:12:46, mode=PVAI, level=Hard, move=3, ms=0.004
2025-11-04 13:12:46, mode=PVAI, level=Hard, move=4, ms=0.001
2025-11-04 13:13:54, mode=PVAI, level=Hard, move=1, ms=1.870
2025-11-04 13:13:54, mode=PVAI, level=Hard, move=2, ms=0.034
2025-11-04 13:13:54, mode=PVAI, level=Hard, move=3, ms=0.004
2025-11-04 13:13:56, mode=PVAI, level=Easy, move=1, ms=0.003
2025-11-04 13:13:57, mode=PVAI, level=Easy, move=2, ms=0.003
2025-11-04 13:28:33, mode=PVAI, level=Easy, move=1, ms=0.002
2025-11-04 13:28:34, mode=PVAI, level=Easy, move=1, ms=0.001
2025-11-04 13:28:35, mode=PVAI, level=Easy, move=2, ms=0.005
2025-11-04 13:28:37, mode=PVAI, level=Hard, move=1, ms=2.211
2025-11-04 13:28:37, mode=PVAI, level=Hard, move=2, ms=0.044
2025-11-04 13:28:38, mode=PVAI, level=Hard, move=1, ms=1.941
2025-11-04 13:28:39, mode=PVAI, level=Hard, move=2, ms=0.068
2025-11-04 13:28:40, mode=PVAI, level=Hard, move=3, ms=0.002
2025-11-04 13:30:05, mode=PVAI, level=Hard, move=1, ms=2.108
2025-11-04 13:30:06, mode=PVAI, level=Hard, move=2, ms=0.085
2025-11-04 13:30:06, mode=PVAI, level=Hard, move=3, ms=0.003
2025-11-04 13:30:59, mode=PVAI, level=Easy, move=1, ms=0.004
2025-11-04 13:31:01, mode=PVAI, level=Hard, move=1, ms=16.541
2025-11-04 13:31:04, mode=PVAI, level=Hard, move=2, ms=0.423
2025-11-04 13:31:05, mode=PVAI, level=Hard, move=3, ms=0.019
2025-11-04 13:31:05, mode=PVAI, level=Hard, move=4, ms=0.002
2025-11-04 13:31:07, mode=PVAI, level=Hard, move=1, ms=16.810
2025-11-04 13:31:07, mode=PVAI, level=Hard, move=1, ms=16.790
2025-11-04 13:31:08, mode=PVAI, level=Hard, move=1, ms=16.567
2025-11-04 13:31:08, mode=PVAI, level=Hard, move=1, ms=16.618
2025-11-04 13:31:08, mode=PVAI, level=Hard, move=1, ms=16.644
2025-11-04 13:31:08, mode=PVAI, level=Hard, move=1, ms=16.775
2025-11-04 13:31:08, mode=PVAI, level=Hard, move=1, ms=16.794
2025-11-04 13:31:08, mode=PVAI, level=Hard, move=1, ms=16.621
2025-11-04 13:31:09, mode=PVAI, level=Hard, move=1, ms=16.951
2025-11-04 13:31:09, mode=PVAI, level=Hard, move=1, ms=16.493
2025-11-04 13:31:09, mode=PVAI, level=Hard, move=1, ms=16.624
2025-11-04 13:31:09, mode=PVAI, level=Medium, move=1, ms=0.111
2025-11-04 13:31:10, mode=PVAI, level=Medium, move=1, ms=0.109
2025-11-04 13:31:10, mode=PVAI, level=Medium, move=1, ms=0.162
2025-11-04 13:31:10, mode=PVAI, level=Medium, move=1, ms=0.161
2025-11-04 13:31:10, mode=PVAI, level=Medium, move=1, ms=0.163
2025-11-04 13:31:10, mode=PVAI, level=Medium, move=1, ms=0.110
2025-11-04 13:31:10, mode=PVAI, level=Medium, move=1, ms=0.166
2025-11-04 13:31:11, mode=PVAI, level=Medium, move=1, ms=0.166
2025-11-04 13:31:11, mode=PVAI, level=Medium, move=1, ms=0.134
2025-11-04 13:31:11, mode=PVAI, level=Medium, move=1, ms=0.169
2025-11-04 13:31:11, mode=PVAI, level=Medium, move=1, ms=0.161
2025-11-04 13:31:11, mode=PVAI, level=Medium, move=1, ms=0.166
2025-11-04 13:31:11, mode=PVAI, level=Medium, move=1, ms=0.161
2025-11-04 13:31:12, mode=PVAI, level=Medium, move=1, ms=0.110
2025-11-04 13:31:12, mode=PVAI, level=Medium, move=1, ms=0.170
2025-11-04 13:31:12, mode=PVAI, level=Medium, move=1, ms=0.112
2025-11-04 13:31:12, mode=PVAI, level=Medium, move=1, ms=0.161
2025-11-04 13:31:12, mode=PVAI, level=Medium, move=1, ms=0.168
2025-11-04 13:31:12, mode=PVAI, level=Medium, move=1, ms=0.111
2025-11-04 13:31:13, mode=PVAI, level=Medium, move=1, ms=0.160
2025-11-04 13:31:13, mode=PVAI, level=Medium, move=1, ms=0.163
2025-11-04 13:31:13, mode=PVAI, level=Medium, move=1, ms=0.171
2025-11-04 13:31:13, mode=PVAI, level=Easy, move=1, ms=0.002
2025-11-04 13:31:13, mode=PVAI, level=Easy, move=1, ms=0.002
2025-11-04 13:31:14, mode=PVAI, level=Easy, move=1, ms=0.006
